,MANEMP
1990-01-01,17797.0
1990-02-01,17893.0
1990-03-01,17868.0
1990-04-01,17845.0
1990-05-01,17796.0
1990-06-01,17775.0
1990-07-01,17703.0
1990-08-01,17650.0
1990-09-01,17609.0
1990-10-01,17577.0
1990-11-01,17428.0
1990-12-01,17395.0
1991-01-01,17330.0
1991-02-01,17213.0
1991-03-01,17140.0
1991-04-01,17093.0
1991-05-01,17071.0
1991-06-01,17045.0
1991-07-01,17015.0
1991-08-01,17026.0
1991-09-01,17010.0
1991-10-01,16999.0
1991-11-01,16961.0
1991-12-01,16917.0
1992-01-01,16839.0
1992-02-01,16828.0
1992-03-01,16805.0
1992-04-01,16830.0
1992-05-01,16835.0
1992-06-01,16826.0
1992-07-01,16820.0
1992-08-01,16782.0
1992-09-01,16760.0
1992-10-01,16751.0
1992-11-01,16758.0
1992-12-01,16770.0
1993-01-01,16790.0
1993-02-01,16804.0
1993-03-01,16795.0
1993-04-01,16772.0
1993-05-01,16766.0
1993-06-01,16742.0
1993-07-01,16740.0
1993-08-01,16740.0
1993-09-01,16770.0
1993-10-01,16778.0
1993-11-01,16800.0
1993-12-01,16815.0
1994-01-01,16855.0
1994-02-01,16862.0
1994-03-01,16897.0
1994-04-01,16933.0
1994-05-01,16961.0
1994-06-01,17009.0
1994-07-01,17025.0
1994-08-01,17081.0
1994-09-01,17114.0
1994-10-01,17144.0
1994-11-01,17186.0
1994-12-01,17218.0
1995-01-01,17262.0
1995-02-01,17266.0
1995-03-01,17263.0
1995-04-01,17278.0
1995-05-01,17258.0
1995-06-01,17247.0
1995-07-01,17218.0
1995-08-01,17240.0
1995-09-01,17247.0
1995-10-01,17216.0
1995-11-01,17208.0
1995-12-01,17231.0
1996-01-01,17208.0
1996-02-01,17230.0
1996-03-01,17193.0
1996-04-01,17204.0
1996-05-01,17222.0
1996-06-01,17226.0
1996-07-01,17222.0
1996-08-01,17256.0
1996-09-01,17251.0
1996-10-01,17268.0
1996-11-01,17277.0
1996-12-01,17284.0
1997-01-01,17297.0
1997-02-01,17315.0
1997-03-01,17340.0
1997-04-01,17351.0
1997-05-01,17364.0
1997-06-01,17387.0
1997-07-01,17388.0
1997-08-01,17453.0
1997-09-01,17465.0
1997-10-01,17514.0
1997-11-01,17556.0
1997-12-01,17587.0
1998-01-01,17619.0
1998-02-01,17627.0
1998-03-01,17637.0
1998-04-01,17637.0
1998-05-01,17624.0
1998-06-01,17607.0
1998-07-01,17423.0
1998-08-01,17563.0
1998-09-01,17557.0
1998-10-01,17512.0
1998-11-01,17466.0
1998-12-01,17449.0
1999-01-01,17427.0
1999-02-01,17395.0
1999-03-01,17368.0
1999-04-01,17343.0
1999-05-01,17333.0
1999-06-01,17294.0
1999-07-01,17308.0
1999-08-01,17287.0
1999-09-01,17282.0
1999-10-01,17274.0
1999-11-01,17282.0
1999-12-01,17279.0
2000-01-01,17284.0
2000-02-01,17284.0
2000-03-01,17302.0
2000-04-01,17299.0
2000-05-01,17278.0
2000-06-01,17295.0
2000-07-01,17322.0
2000-08-01,17287.0
2000-09-01,17229.0
2000-10-01,17217.0
2000-11-01,17202.0
2000-12-01,17181.0
2001-01-01,17105.0
2001-02-01,17030.0
2001-03-01,16938.0
2001-04-01,16802.0
2001-05-01,16660.0
2001-06-01,16513.0
2001-07-01,16381.0
2001-08-01,16233.0
2001-09-01,16116.0
2001-10-01,15973.0
2001-11-01,15825.0
2001-12-01,15712.0
2002-01-01,15588.0
2002-02-01,15518.0
2002-03-01,15443.0
2002-04-01,15392.0
2002-05-01,15338.0
2002-06-01,15297.0
2002-07-01,15256.0
2002-08-01,15171.0
2002-09-01,15119.0
2002-10-01,15059.0
2002-11-01,14992.0
2002-12-01,14911.0
2003-01-01,14867.0
2003-02-01,14780.0
2003-03-01,14721.0
2003-04-01,14608.0
2003-05-01,14558.0
2003-06-01,14493.0
2003-07-01,14403.0
2003-08-01,14376.0
2003-09-01,14346.0
2003-10-01,14334.0
2003-11-01,14316.0
2003-12-01,14299.0
2004-01-01,14291.0
2004-02-01,14279.0
2004-03-01,14287.0
2004-04-01,14315.0
2004-05-01,14342.0
2004-06-01,14334.0
2004-07-01,14331.0
2004-08-01,14345.0
2004-09-01,14332.0
2004-10-01,14332.0
2004-11-01,14306.0
2004-12-01,14285.0
2005-01-01,14257.0
2005-02-01,14272.0
2005-03-01,14268.0
2005-04-01,14249.0
2005-05-01,14255.0
2005-06-01,14227.0
2005-07-01,14225.0
2005-08-01,14200.0
2005-09-01,14173.0
2005-10-01,14189.0
2005-11-01,14184.0
2005-12-01,14189.0
2006-01-01,14208.0
2006-02-01,14208.0
2006-03-01,14210.0
2006-04-01,14223.0
2006-05-01,14200.0
2006-06-01,14210.0
2006-07-01,14185.0
2006-08-01,14154.0
2006-09-01,14120.0
2006-10-01,14068.0
2006-11-01,14034.0
2006-12-01,14009.0
2007-01-01,14004.0
2007-02-01,13993.0
2007-03-01,13964.0
2007-04-01,13939.0
2007-05-01,13922.0
2007-06-01,13903.0
2007-07-01,13881.0
2007-08-01,13821.0
2007-09-01,13784.0
2007-10-01,13756.0
2007-11-01,13751.0
2007-12-01,13739.0
2008-01-01,13717.0
2008-02-01,13690.0
2008-03-01,13650.0
2008-04-01,13589.0
2008-05-01,13555.0
2008-06-01,13494.0
2008-07-01,13419.0
2008-08-01,13348.0
2008-09-01,13267.0
2008-10-01,13138.0
2008-11-01,13026.0
2008-12-01,12842.0
2009-01-01,12552.0
2009-02-01,12371.0
2009-03-01,12196.0
2009-04-01,12017.0
2009-05-01,11850.0
2009-06-01,11713.0
2009-07-01,11654.0
2009-08-01,11612.0
2009-09-01,11580.0
2009-10-01,11527.0
2009-11-01,11498.0
2009-12-01,11465.0
2010-01-01,11447.0
2010-02-01,11439.0
2010-03-01,11439.0
2010-04-01,11475.0
2010-05-01,11511.0
2010-06-01,11529.0
2010-07-01,11546.0
2010-08-01,11538.0
2010-09-01,11549.0
2010-10-01,11548.0
2010-11-01,11571.0
2010-12-01,11579.0
2011-01-01,11606.0
2011-02-01,11637.0
2011-03-01,11659.0
2011-04-01,11689.0
2011-05-01,11697.0
2011-06-01,11710.0
2011-07-01,11729.0
2011-08-01,11748.0
2011-09-01,11752.0
2011-10-01,11762.0
2011-11-01,11753.0
2011-12-01,11783.0
2012-01-01,11820.0
2012-02-01,11841.0
2012-03-01,11880.0
2012-04-01,11897.0
2012-05-01,11908.0
2012-06-01,11918.0
2012-07-01,11944.0
2012-08-01,11940.0
2012-09-01,11934.0
2012-10-01,11941.0
2012-11-01,11930.0
2012-12-01,11939.0
2013-01-01,11962.0
2013-02-01,11974.0
2013-03-01,11977.0
2013-04-01,11978.0
2013-05-01,11978.0
2013-06-01,11982.0
2013-07-01,11962.0
2013-08-01,11992.0
2013-09-01,12010.0
2013-10-01,12033.0
2013-11-01,12054.0
2013-12-01,12060.0
2014-01-01,12058.0
2014-02-01,12084.0
2014-03-01,12096.0
2014-04-01,12109.0
2014-05-01,12120.0
2014-06-01,12146.0
2014-07-01,12165.0
2014-08-01,12182.0
2014-09-01,12201.0
2014-10-01,12233.0
2014-11-01,12260.0
2014-12-01,12266.0
2015-01-01,12265.0
2015-02-01,12275.0
2015-03-01,12286.0
2015-04-01,12291.0
2015-05-01,12306.0
2015-06-01,12307.0
2015-07-01,12323.0
2015-08-01,12318.0
2015-09-01,12326.0
2015-10-01,12334.0
2015-11-01,12329.0
2015-12-01,12333.0
2016-01-01,12354.0
2016-02-01,12337.0
2016-03-01,12313.0
2016-04-01,12325.0
2016-05-01,12303.0
2016-06-01,12321.0
2016-07-01,12342.0
2016-08-01,12319.0
2016-09-01,12317.0
2016-10-01,12316.0
2016-11-01,12311.0
2016-12-01,12324.0
2017-01-01,12334.0
2017-02-01,12350.0
2017-03-01,12361.0
2017-04-01,12367.0
2017-05-01,12377.0
2017-06-01,12390.0
2017-07-01,12390.0
2017-08-01,12435.0
2017-09-01,12443.0
2017-10-01,12457.0
2017-11-01,12472.0
2017-12-01,12501.0
2018-01-01,12527.0
2018-02-01,12551.0
2018-03-01,12576.0
2018-04-01,12595.0
2018-05-01,12623.0
2018-06-01,12656.0
2018-07-01,12676.0
2018-08-01,12688.0
2018-09-01,12710.0
2018-10-01,12731.0
2018-11-01,12741.0
2018-12-01,12761.0
2019-01-01,12790.0
2019-02-01,12782.0
2019-03-01,12788.0
2019-04-01,12785.0
2019-05-01,12778.0
2019-06-01,12787.0
2019-07-01,12790.0
2019-08-01,12789.0
2019-09-01,12787.0
2019-10-01,12733.0
2019-11-01,12777.0
