,TOTALSA
1990-01-01,16.308
1990-02-01,14.363
1990-03-01,14.486
1990-04-01,14.281
1990-05-01,14.022
1990-06-01,14.149
1990-07-01,14.081
1990-08-01,13.859
1990-09-01,14.298
1990-10-01,13.749
1990-11-01,13.134
1990-12-01,12.958
1991-01-01,11.829
1991-02-01,12.409
1991-03-01,12.848
1991-04-01,12.038
1991-05-01,12.487
1991-06-01,12.719
1991-07-01,12.972
1991-08-01,12.565
1991-09-01,13.107
1991-10-01,12.217
1991-11-01,12.576
1991-12-01,12.658
1992-01-01,12.591
1992-02-01,12.927
1992-03-01,12.824
1992-04-01,12.55
1992-05-01,13.098
1992-06-01,13.543
1992-07-01,12.853
1992-08-01,12.873
1992-09-01,13.378
1992-10-01,13.655
1992-11-01,13.218
1992-12-01,13.784
1993-01-01,13.457
1993-02-01,12.969
1993-03-01,13.326
1993-04-01,14.527
1993-05-01,14.519
1993-06-01,14.49
1993-07-01,14.451
1993-08-01,13.584
1993-09-01,13.99
1993-10-01,14.911
1993-11-01,14.882
1993-12-01,15.004
1994-01-01,15.379
1994-02-01,15.52
1994-03-01,15.301
1994-04-01,16.013
1994-05-01,14.577
1994-06-01,15.109
1994-07-01,14.875
1994-08-01,15.359
1994-09-01,15.274
1994-10-01,15.894
1994-11-01,15.89
1994-12-01,15.584
1995-01-01,14.801
1995-02-01,14.861
1995-03-01,15.256
1995-04-01,14.378
1995-05-01,14.806
1995-06-01,15.407
1995-07-01,14.7
1995-08-01,15.368
1995-09-01,15.338
1995-10-01,14.861
1995-11-01,15.38
1995-12-01,16.262
1996-01-01,14.812
1996-02-01,15.587
1996-03-01,16.044
1996-04-01,15.466
1996-05-01,15.993
1996-06-01,15.256
1996-07-01,15.074
1996-08-01,15.486
1996-09-01,15.534
1996-10-01,15.308
1996-11-01,15.712
1996-12-01,15.183
1997-01-01,15.682
1997-02-01,15.271
1997-03-01,15.816
1997-04-01,15.058
1997-05-01,15.088
1997-06-01,14.524
1997-07-01,15.568
1997-08-01,16.148
1997-09-01,15.096
1997-10-01,15.431
1997-11-01,15.825
1997-12-01,16.474
1998-01-01,14.789
1998-02-01,15.232
1998-03-01,15.405
1998-04-01,15.923
1998-05-01,17.057
1998-06-01,16.771
1998-07-01,14.668
1998-08-01,14.796
1998-09-01,16.313
1998-10-01,17.131
1998-11-01,16.118
1998-12-01,17.409
1999-01-01,16.593
1999-02-01,17.097
1999-03-01,16.832
1999-04-01,16.929
1999-05-01,17.564
1999-06-01,17.346
1999-07-01,17.688
1999-08-01,17.641
1999-09-01,17.662
1999-10-01,17.684
1999-11-01,17.62
1999-12-01,18.322
2000-01-01,18.635
2000-02-01,19.401
2000-03-01,18.343
2000-04-01,17.939
2000-05-01,17.943
2000-06-01,17.596
2000-07-01,17.316
2000-08-01,17.531
2000-09-01,18.654
2000-10-01,17.514
2000-11-01,16.634
2000-12-01,16.222
2001-01-01,17.652
2001-02-01,17.826
2001-03-01,17.248
2001-04-01,16.872
2001-05-01,16.876
2001-06-01,17.464
2001-07-01,16.463
2001-08-01,16.348
2001-09-01,16.365
2001-10-01,22.055
2001-11-01,18.031
2001-12-01,16.465
2002-01-01,16.523
2002-02-01,17.304
2002-03-01,17.107
2002-04-01,17.668
2002-05-01,16.197
2002-06-01,16.953
2002-07-01,18.147
2002-08-01,18.449
2002-09-01,16.665
2002-10-01,16.259
2002-11-01,16.52
2002-12-01,17.866
2003-01-01,16.708
2003-02-01,16.114
2003-03-01,16.467
2003-04-01,16.751
2003-05-01,16.47
2003-06-01,17.013
2003-07-01,17.117
2003-08-01,18.262
2003-09-01,17.286
2003-10-01,16.489
2003-11-01,17.563
2003-12-01,17.357
2004-01-01,16.695
2004-02-01,17.032
2004-03-01,17.247
2004-04-01,16.898
2004-05-01,18.186
2004-06-01,16.173
2004-07-01,17.309
2004-08-01,17.157
2004-09-01,17.875
2004-10-01,17.514
2004-11-01,17.362
2004-12-01,18.102
2005-01-01,16.889
2005-02-01,16.886
2005-03-01,17.413
2005-04-01,17.756
2005-05-01,17.414
2005-06-01,18.482
2005-07-01,21.135
2005-08-01,17.418
2005-09-01,16.927
2005-10-01,15.336
2005-11-01,16.524
2005-12-01,17.174
2006-01-01,18.081
2006-02-01,17.071
2006-03-01,16.96
2006-04-01,17.127
2006-05-01,16.729
2006-06-01,16.9
2006-07-01,17.662
2006-08-01,16.458
2006-09-01,16.974
2006-10-01,16.865
2006-11-01,16.657
2006-12-01,17.107
2007-01-01,16.896
2007-02-01,17.169
2007-03-01,16.438
2007-04-01,16.615
2007-05-01,16.661
2007-06-01,16.179
2007-07-01,15.837
2007-08-01,16.379
2007-09-01,16.532
2007-10-01,16.455
2007-11-01,16.354
2007-12-01,16.03
2008-01-01,15.705
2008-02-01,15.491
2008-03-01,15.114
2008-04-01,14.605
2008-05-01,14.697
2008-06-01,14.377
2008-07-01,13.006
2008-08-01,14.119
2008-09-01,12.961
2008-10-01,10.933
2008-11-01,10.526
2008-12-01,10.383
2009-01-01,9.786
2009-02-01,9.223
2009-03-01,9.748
2009-04-01,9.379
2009-05-01,10.176
2009-06-01,10.149
2009-07-01,11.566
2009-08-01,14.754
2009-09-01,9.535
2009-10-01,10.576
2009-11-01,11.041
2009-12-01,11.284
2010-01-01,10.893
2010-02-01,10.315
2010-03-01,11.772
2010-04-01,11.454
2010-05-01,12.03
2010-06-01,11.598
2010-07-01,11.948
2010-08-01,12.014
2010-09-01,11.922
2010-10-01,12.414
2010-11-01,12.3
2010-12-01,12.605
2011-01-01,12.806
2011-02-01,13.081
2011-03-01,13.259
2011-04-01,13.326
2011-05-01,12.28
2011-06-01,11.886
2011-07-01,12.72
2011-08-01,12.604
2011-09-01,13.356
2011-10-01,13.73
2011-11-01,13.743
2011-12-01,13.798
2012-01-01,14.395
2012-02-01,14.975
2012-03-01,14.594
2012-04-01,14.769
2012-05-01,14.496
2012-06-01,14.467
2012-07-01,14.38
2012-08-01,14.444
2012-09-01,15.099
2012-10-01,14.83
2012-11-01,15.456
2012-12-01,15.462
2013-01-01,15.813
2013-02-01,15.861
2013-03-01,15.721
2013-04-01,15.811
2013-05-01,15.884
2013-06-01,16.149
2013-07-01,16.021
2013-08-01,15.827
2013-09-01,15.857
2013-10-01,15.727
2013-11-01,16.079
2013-12-01,15.835
2014-01-01,15.614
2014-02-01,15.993
2014-03-01,16.985
2014-04-01,16.695
2014-05-01,17.137
2014-06-01,17.516
2014-07-01,17.277
2014-08-01,17.239
2014-09-01,16.959
2014-10-01,16.756
2014-11-01,16.949
2014-12-01,17.178
2015-01-01,16.91
2015-02-01,16.891
2015-03-01,17.896
2015-04-01,17.693
2015-05-01,17.929
2015-06-01,17.889
2015-07-01,18.318
2015-08-01,18.391
2015-09-01,18.281
2015-10-01,18.27
2015-11-01,18.314
2015-12-01,17.503
2016-01-01,18.054
2016-02-01,18.096
2016-03-01,17.291
2016-04-01,17.669
2016-05-01,17.695
2016-06-01,17.735
2016-07-01,18.109
2016-08-01,17.927
2016-09-01,17.956
2016-10-01,17.954
2016-11-01,17.792
2016-12-01,18.277
2017-01-01,17.652
2017-02-01,17.699
2017-03-01,17.061
2017-04-01,17.166
2017-05-01,17.081
2017-06-01,17.13
2017-07-01,17.237
2017-08-01,17.051
2017-09-01,18.313
2017-10-01,18.482
2017-11-01,18.003
2017-12-01,17.887
2018-01-01,17.176
2018-02-01,17.447
2018-03-01,17.662
2018-04-01,17.584
2018-05-01,17.829
2018-06-01,17.743
2018-07-01,17.629
2018-08-01,17.564
2018-09-01,17.776
2018-10-01,17.991
2018-11-01,18.061
2018-12-01,18.077
2019-01-01,16.97
2019-02-01,16.962
2019-03-01,17.842
2019-04-01,16.968
2019-05-01,17.967
2019-06-01,17.781
2019-07-01,17.682
2019-08-01,17.882
2019-09-01,17.72
2019-10-01,17.049
2019-11-01,17.549
2019-12-01,17.491
2020-01-01,16.85
2020-02-01,17.13
2020-03-01,11.825
2020-04-01,8.919
2020-05-01,12.543
2020-06-01,13.532
2020-07-01,15.182
2020-08-01,16.09
2020-09-01,16.713
2020-10-01,16.564
2020-11-01,16.298
2020-12-01,16.906
2021-01-01,16.719
2021-02-01,16.146
2021-03-01,18.451
2021-04-01,18.574
2021-05-01,17.519
2021-06-01,16.056
2021-07-01,15.187
2021-08-01,13.874
2021-09-01,12.731
2021-10-01,13.156
2021-11-01,13.37
2021-12-01,13.123
2022-01-01,14.886
2022-02-01,14.198
2022-03-01,14.221
2022-04-01,14.615
2022-05-01,13.291
2022-06-01,13.821
2022-07-01,13.87
2022-08-01,14.184
2022-09-01,14.12
2022-10-01,15.099
2022-11-01,14.583
2022-12-01,13.874
2023-01-01,15.657
2023-02-01,15.47
2023-03-01,15.621
2023-04-01,16.41
2023-05-01,15.931
2023-06-01,16.606
2023-07-01,16.321
2023-08-01,16.071
2023-09-01,16.209
2023-10-01,15.738
2023-11-01,15.782
2023-12-01,16.321
2024-01-01,15.558
2024-02-01,16.255
2024-03-01,16.21
2024-04-01,16.458
2024-05-01,16.361
2024-06-01,15.79
2024-07-01,16.337
2024-08-01,15.978
2024-09-01,16.341
2024-10-01,16.493
2024-11-01,16.908
2024-12-01,17.301
2025-01-01,15.95
2025-02-01,16.419
2025-03-01,18.35
2025-04-01,17.583
2025-05-01,16.043
2025-06-01,16.282
2025-07-01,16.998
2025-08-01,16.9
2025-09-01,16.985
2025-10-01,15.845
2025-11-01,16.006
2025-12-01,16.4
2026-01-01,15.215
2026-02-01,16.134
2026-03-01,16.686
